Ceremony Year	Film	Award	Director	Director Birth Year
1949	The Little Orphan	Academy Award for Best Animated Short Film	Joseph Barbera	1911
1949	The Little Orphan	Academy Award for Best Animated Short Film	William Hanna	1910
1949	The Naked City	Academy Award for Best Cinematography, Black-and-White	Jules Dassin	1911
1949	The Naked City	Academy Award for Best Film Editing	Jules Dassin	1911
1949	The Red Shoes	Academy Award for Best Art Direction, Color	Emeric Pressburger	1902
1949	The Red Shoes	Academy Award for Best Art Direction, Color	Michael Powell	1905
1949	The Red Shoes	Academy Award for Best Original Dramatic or Comedy Score	Emeric Pressburger	1902
1949	The Red Shoes	Academy Award for Best Original Dramatic or Comedy Score	Michael Powell	1905
1949	The Search	Academy Award for Best Story	Fred Zinnemann	1907
1949	The Secret Land	Academy Award for Best Documentary Feature Film	Orville O. Dull	1888
1949	The Snake Pit	Academy Award for Best Sound	Anatole Litvak	1902
1949	The Treasure of the Sierra Madre	Academy Award for Best Director	John Huston	1906
1949	The Treasure of the Sierra Madre	Academy Award for Best Supporting Actor	John Huston	1906
1949	The Treasure of the Sierra Madre	Academy Award for Best Writing, Adapted Screenplay	John Huston	1906
1949	Toward Independence	Academy Award for Best Documentary (Short Subject)		
1949	Walt Disney	Academy Award for Best Short Subject, Two-reel		
1949	Walter Huston	Academy Award for Best Supporting Actor		
1949	William H. Daniels	Academy Award for Best Cinematography, Black-and-White		
1949	William V. Skall	Academy Award for Best Cinematography, Color		
1949	Winton Hoch	Academy Award for Best Cinematography, Color		
1950	A Chance to Live	Academy Award for Best Documentary (Short Subject)	James L. Shute	1900
1950	A Letter to Three Wives	Academy Award for Best Director	Joseph L. Mankiewicz	1909
1950	A Letter to Three Wives	Academy Award for Best Writing, Adapted Screenplay	Joseph L. Mankiewicz	1909
1950	Aaron Copland	Academy Award for Best Original Dramatic or Comedy Score		
1950	Adventures of Don Juan	Academy Award for Best Costume Design, Color	Vincent Sherman	1906
1950	All the King's Men	Academy Award for Best Actor	Robert Rossen	1908
1950	All the King's Men	Academy Award for Best Picture	Robert Rossen	1908
1950	All the King's Men	Academy Award for Best Supporting Actress	Robert Rossen	1908
1950	Aquatic House Party	Academy Award for Best Live Action Short Film, One-Reel		
1950	Baby, It's Cold Outside	Academy Award for Best Original Song		
1950	Battleground	Academy Award for Best Cinematography, Black-and-White	William A. Wellman	1896
1950	Battleground	Academy Award for Best Writing, Original Screenplay	William A. Wellman	1896
1950	Bobby Driscoll	Academy Juvenile Award		
1950	Broderick Crawford	Academy Award for Best Actor		
1950	Cedric Gibbons	Academy Award for Best Art Direction, Color		
1950	Champion	Academy Award for Best Film Editing	Mark Robson	1913
1950	Daybreak in Udi	Academy Award for Best Documentary Feature Film	Terry Bishop	1912
1950	Dean Jagger	Academy Award for Best Supporting Actor		
1950	Douglas Morrow	Academy Award for Best Story		
1950	Eddie Selzer	Academy Award for Best Animated Short Film		
1950	Eddie Selzer	Academy Award for Best Documentary (Short Subject)		
1950	Edith Head	Academy Award for Best Costume Design, Black-and-White		
1950	Edwin B. Willis	Academy Award for Best Art Direction, Color		
1950	Emile Kuri	Academy Award for Best Art Direction, Black and White		
1950	For Scent-imental Reasons	Academy Award for Best Animated Short Film	Chuck Jones	1912
1950	Frank Loesser	Academy Award for Best Original Song		
1950	Gaston Diehl	Academy Award for Best Short Subject, Two-reel		
1950	Gile Steele	Academy Award for Best Costume Design, Black-and-White		
1950	Harry Horner	Academy Award for Best Art Direction, Black and White		
1950	Harry W. Gerstad	Academy Award for Best Film Editing		
1950	Jack Dehm Moore	Academy Award for Best Art Direction, Color		
1950	Jack Eaton	Academy Award for Best Live Action Short Film, One-Reel		
1950	John Meehan	Academy Award for Best Art Direction, Black and White		
1950	Joseph L. Mankiewicz	Academy Award for Best Director		
1950	Joseph L. Mankiewicz	Academy Award for Best Writing, Adapted Screenplay		
1950	Leah Rhodes	Academy Award for Best Costume Design, Color		
1950	Lennie Hayton	Academy Award for Best Original Musical Score		
1950	Little Women	Academy Award for Best Art Direction, Color	Mervyn LeRoy	1900
1950	M. B. Paul	Academy Scientific and Technical Award		
1950	Marjorie Best	Academy Award for Best Costume Design, Color		
1950	Mercedes McCambridge	Academy Award for Best Supporting Actress		
1950	Mighty Joe Young	Academy Award for Best Special Effects	Ernest B. Schoedsack	1893
1950	Mona Lisa	Academy Award for Best Original Song		
1950	Olivia de Havilland	Academy Award for Best Actress		
1950	On the Town	Academy Award for Best Original Musical Score	Gene Kelly	1912
1950	On the Town	Academy Award for Best Original Musical Score	Stanley Donen	1924
1950	Paul Groesse	Academy Award for Best Art Direction, Color		
1950	Paul Vogel	Academy Award for Best Cinematography, Black-and-White		
1950	Richard de Rochemont	Academy Award for Best Documentary (Short Subject)		
1950	Robert Hessens	Academy Award for Best Short Subject, Two-reel		
1950	Robert Pirosh	Academy Award for Best Writing, Original Screenplay		
1950	Roger Edens	Academy Award for Best Original Musical Score		
1950	She Wore a Yellow Ribbon	Academy Award for Best Cinematography, Color	John Ford	1894
1950	So Much for So Little	Academy Award for Best Documentary (Short Subject)	Chuck Jones	1912
1950	Stephen Csillag	Academy Scientific and Technical Award		
1950	The Heiress	Academy Award for Best Actress	William Wyler	1902
1950	The Heiress	Academy Award for Best Art Direction, Black and White	William Wyler	1902
1950	The Heiress	Academy Award for Best Costume Design, Black-and-White	William Wyler	1902
1950	The Heiress	Academy Award for Best Original Dramatic or Comedy Score	William Wyler	1902
1950	The Stratton Story	Academy Award for Best Story	Sam Wood	1883
1950	Twelve O'Clock High	Academy Award for Best Sound	Henry King	1886
1950	Twelve O'Clock High	Academy Award for Best Supporting Actor	Henry King	1886
1950	Van Gogh	Academy Award for Best Short Subject, Two-reel	Alain Resnais	1922
1950	William Travilla	Academy Award for Best Costume Design, Color		
1950	Winton Hoch	Academy Award for Best Cinematography, Color		
1951	Adolph Deutsch	Academy Award for Best Original Musical Score		
1951	All About Eve	Academy Award for Best Costume Design, Black-and-White	Joseph L. Mankiewicz	1909
1951	All About Eve	Academy Award for Best Director	Joseph L. Mankiewicz	1909
1951	All About Eve	Academy Award for Best Picture	Joseph L. Mankiewicz	1909
1951	All About Eve	Academy Award for Best Sound	Joseph L. Mankiewicz	1909
1951	All About Eve	Academy Award for Best Supporting Actor	Joseph L. Mankiewicz	1909
1951	All About Eve	Academy Award for Best Writing, Adapted Screenplay	Joseph L. Mankiewicz	1909
1951	Annie Get Your Gun	Academy Award for Best Original Musical Score	Busby Berkeley	1895
1951	Annie Get Your Gun	Academy Award for Best Original Musical Score	George Sidney	1916
1951	Annie Get Your Gun	Academy Award for Best Original Musical Score	Charles Walters	1911
1951	Billy Wilder	Academy Award for Best Writing, Original Screenplay		
1951	Born Yesterday	Academy Award for Best Actress	George Cukor	1899
1951	Charles Brackett	Academy Award for Best Writing, Original Screenplay		
1951	Charles LeMaire	Academy Award for Best Costume Design, Black-and-White		
1951	Conrad A. Nervig	Academy Award for Best Film Editing		
1951	Cyrano de Bergerac	Academy Award for Best Actor	Michael Gordon	1909
1951	D. M. Marshman, Jr.	Academy Award for Best Writing, Original Screenplay		
1951	Darryl F. Zanuck	Irving G. Thalberg Memorial Award		
1951	Destination Moon	Academy Award for Best Special Effects	Irving Pichel	1891
1951	Dorothy Jeakins	Academy Award for Best Costume Design, Color		
1951	Edith Head	Academy Award for Best Costume Design, Black-and-White		
1951	Edith Head	Academy Award for Best Costume Design, Color		
1951	Edmund Reek	Academy Award for Best Documentary (Short Subject)		
1951	Edna Anhalt	Academy Award for Best Story		
1951	Edward Anhalt	Academy Award for Best Story		
1951	Elois Jenssen	Academy Award for Best Costume Design, Color		
1951	Floyd Campbell	Academy Scientific and Technical Award		
1951	Franz Waxman	Academy Award for Best Original Dramatic or Comedy Score		
1951	Gene Kelly	Academy Honorary Award		
1951	George Murphy	Academy Honorary Award		
1951	George Sanders	Academy Award for Best Supporting Actor		
1951	Gerald McBoing-Boing	Academy Award for Best Animated Short Film	John Hubley	1914
1951	Gerald McBoing-Boing	Academy Award for Best Animated Short Film	Robert Cannon	1909
1951	Gile Steele	Academy Award for Best Costume Design, Color		
1951	Gordon Hollingshead	Academy Award for Best Live Action Short Film, One-Reel		
1951	Grandad of Races	Academy Award for Best Live Action Short Film, One-Reel	André de la Varre	1904
1951	Gwen Wakeling	Academy Award for Best Costume Design, Color		
1951	Hans Dreier	Academy Award for Best Art Direction, Black and White		
1951	Hans Dreier	Academy Award for Best Art Direction, Color		
1951	Harvey	Academy Award for Best Supporting Actress	Henry Koster	1905
1951	In Beaver Valley	Academy Award for Best Short Subject, Two-reel	James Algar	1912
1951	Jay Livingston	Academy Award for Best Original Song		
1951	John Meehan	Academy Award for Best Art Direction, Black and White		
1951	Joseph L. Mankiewicz	Academy Award for Best Director		
1951	Joseph L. Mankiewicz	Academy Award for Best Writing, Adapted Screenplay		
1951	Josephine Hull	Academy Award for Best Supporting Actress		
1951	José Ferrer	Academy Award for Best Actor		
1951	Judy Holliday	Academy Award for Best Actress		
1951	King Solomon's Mines	Academy Award for Best Cinematography, Color	Compton Bennett	1900
1951	King Solomon's Mines	Academy Award for Best Cinematography, Color	Andrew Marton	1904
1951	King Solomon's Mines	Academy Award for Best Film Editing	Compton Bennett	1900
1951	King Solomon's Mines	Academy Award for Best Film Editing	Andrew Marton	1904
1951	Kon-Tiki	Academy Award for Best Documentary Feature Film	Thor Heyerdahl	1914
1951	Kon-Tiki	Academy Award for Best Documentary Feature Film	Olle Nordemar	1914
1951	Louis B. Mayer	Academy Honorary Award		
1951	Mona Lisa	Academy Award for Best Original Song		
1951	Olle Nordemar	Academy Award for Best Documentary Feature Film		
1951	Panic in the Streets	Academy Award for Best Story	Elia Kazan	1909
1951	Ralph E. Winters	Academy Award for Best Film Editing		
1951	Ray Evans	Academy Award for Best Original Song		
1951	Ray Moyer	Academy Award for Best Art Direction, Black and White		
1951	Ray Moyer	Academy Award for Best Art Direction, Color		
1951	Robert Krasker	Academy Award for Best Cinematography, Black-and-White		
1951	Robert L. Surtees	Academy Award for Best Cinematography, Color		
1951	Robert Snyder	Academy Award for Best Documentary Feature Film		
1951	Roger Edens	Academy Award for Best Original Musical Score		
1951	Samson and Delilah	Academy Award for Best Art Direction, Color	Cecil B. DeMille	1881
1951	Samson and Delilah	Academy Award for Best Costume Design, Color	Cecil B. DeMille	1881
1951	Samuel M. Comer	Academy Award for Best Art Direction, Black and White		
1951	Samuel M. Comer	Academy Award for Best Art Direction, Color		
1951	Stephen Bosustow	Academy Award for Best Animated Short Film		
1951	Sunset Boulevard	Academy Award for Best Art Direction, Black and White	Billy Wilder	1906
1951	Sunset Boulevard	Academy Award for Best Original Dramatic or Comedy Score	Billy Wilder	1906
1951	Sunset Boulevard	Academy Award for Best Writing, Original Screenplay	Billy Wilder	1906
1951	The Third Man	Academy Award for Best Cinematography, Black-and-White	Carol Reed	1906
1951	The Titan: Story of Michelangelo	Academy Award for Best Documentary Feature Film	Curt Oertel	1890
1951	The Titan: Story of Michelangelo	Academy Award for Best Documentary Feature Film	Richard Lyford	1917
1951	The Titan: Story of Michelangelo	Academy Award for Best Documentary Feature Film	Robert J. Flaherty	1884
1951	The Walls of Malapaga	Academy Award for Best International Feature Film	René Clément	1913
1951	Thomas T. Moulton	Academy Award for Best Sound		
1951	Walt Disney	Academy Award for Best Short Subject, Two-reel		
1951	Walter H. Tyler	Academy Award for Best Art Direction, Color		
1951	Why Korea?	Academy Award for Best Documentary (Short Subject)	Edmund Reek	1897
1952	A Place in the Sun	Academy Award for Best Cinematography, Black-and-White	George Stevens	1904
1952	A Place in the Sun	Academy Award for Best Costume Design, Black-and-White	George Stevens	1904
1952	A Place in the Sun	Academy Award for Best Director	George Stevens	1904
1952	A Place in the Sun	Academy Award for Best Film Editing	George Stevens	1904
1952	A Place in the Sun	Academy Award for Best Original Dramatic or Comedy Score	George Stevens	1904
1952	A Place in the Sun	Academy Award for Best Writing, Adapted Screenplay	George Stevens	1904
1952	A Streetcar Named Desire	Academy Award for Best Actress	Elia Kazan	1909
1952	A Streetcar Named Desire	Academy Award for Best Art Direction, Black and White	Elia Kazan	1909
1952	A Streetcar Named Desire	Academy Award for Best Supporting Actor	Elia Kazan	1909
1952	A Streetcar Named Desire	Academy Award for Best Supporting Actress	Elia Kazan	1909
1952	Akira Kurosawa	Academy Awards		
1952	Alan Jay Lerner	Academy Award for Best Writing, Original Screenplay		
1952	Alfred Gilks	Academy Award for Best Cinematography, Color		
1952	An American in Paris	Academy Award for Best Art Direction, Color	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Cinematography, Color	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Costume Design	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Costume Design, Color	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Original Musical Score	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Picture	Vincente Minnelli	1903
1952	An American in Paris	Academy Award for Best Writing, Original Screenplay	Vincente Minnelli	1903
1952	Arthur Freed	Academy Award for Best Picture		
1952	Benjy	Academy Award for Best Documentary (Short Subject)	Fred Zinnemann	1907
1952	Cedric Gibbons	Academy Award for Best Art Direction, Color		
1952	Douglas Shearer	Academy Award for Best Sound		
1952	E. Preston Ames	Academy Award for Best Art Direction, Color		
1952	Edith Head	Academy Award for Best Costume Design, Black-and-White		
1952	Edwin B. Willis	Academy Award for Best Art Direction, Color		
1952	F. Keogh Gleason	Academy Award for Best Art Direction, Color		
1952	Forbidden Games	Academy Honorary Award	René Clément	1913
1952	Franz Waxman	Academy Award for Best Original Dramatic or Comedy Score		
1952	Fred Quimby	Academy Award for Best Animated Short Film		
1952	Fred Zinnemann	Academy Award for Best Documentary (Short Subject)		
1952	George Brown	Academy Scientific and Technical Award		
1952	George Hopkins	Academy Award for Best Art Direction, Black and White		
1952	George Stevens	Academy Award for Best Director		
1952	Gordon Jennings	Scientific and Engineering Award		
1952	Harold Lloyd	Academy Honorary Award		
1952	Harry Brown	Academy Award for Best Writing, Adapted Screenplay		
1952	Hoagy Carmichael	Academy Award for Best Original Song		
1952	Humphrey Bogart	Academy Award for Best Actor		
1952	In the Cool, Cool, Cool of the Evening	Academy Award for Best Original Song		
1952	Irene Sharaff	Academy Award for Best Costume Design, Color		
1952	Jack Gaylord	Academy Scientific and Technical Award		
1952	James Bernard	Academy Award for Best Story		
1952	John Alton	Academy Award for Best Cinematography, Color		
1952	Johnny Green	Academy Award for Best Original Musical Score		
1952	Johnny Mercer	Academy Award for Best Original Song		
1952	Karl Malden	Academy Award for Best Supporting Actor		
1952	Kim Hunter	Academy Award for Best Supporting Actress		
1952	Michael Wilson	Academy Award for Best Writing, Adapted Screenplay		
1952	Nature's Half Acre	Academy Award for Best Short Subject, Two-reel	James Algar	1912
1952	Orry-Kelly	Academy Award for Best Costume Design, Color		
1952	Paul Dehn	Academy Award for Best Story		
1952	Ralph Ayres	Academy Scientific and Technical Award		
1952	Richard Day	Academy Award for Best Art Direction, Black and White		
1952	Robert Youngson	Academy Award for Best Live Action Short Film, One-Reel		
1952	Saul Chaplin	Academy Award for Best Original Musical Score		
1952	Seven Days to Noon	Academy Award for Best Story	Roy Boulting	1913
1952	Seven Days to Noon	Academy Award for Best Story	John Boulting	1913
1952	The African Queen	Academy Award for Best Actor	John Huston	1906
1952	The Great Caruso	Academy Award for Best Sound	Richard Thorpe	1896
1952	The Two Mouseketeers	Academy Award for Best Animated Short Film	Joseph Barbera	1911
1952	The Two Mouseketeers	Academy Award for Best Animated Short Film	William Hanna	1910
1952	Vivien Leigh	Academy Award for Best Actress		
1952	Walt Disney	Academy Award for Best Short Subject, Two-reel		
1952	Walter Plunkett	Academy Award for Best Costume Design		
1952	When Worlds Collide	Academy Award for Best Special Effects	Rudolph Maté	1898
1952	William C. Mellor	Academy Award for Best Cinematography, Black-and-White		
1952	William Hornbeck	Academy Award for Best Film Editing		
1952	World of Kids	Academy Award for Best Live Action Short Film, One-Reel	Robert Youngson	1917
1953	Alfred Newman	Academy Award for Best Original Musical Score		
1953	Anthony Quinn	Academy Award for Best Supporting Actor		
1953	Archie Stout	Academy Award for Best Cinematography, Color		
1953	Bob Hope	Academy Honorary Award		
1953	Boris Vermont	Academy Award for Best Live Action Short Film, One-Reel		
1953	Cecil B. DeMille	Academy Award for Best Picture		
1953	Cedric Gibbons	Academy Award for Best Art Direction, Black and White		
1953	Charles Schnee	Academy Award for Best Writing, Adapted Screenplay		
1953	Come Back, Little Sheba	Academy Award for Best Actress	Daniel Mann	1912
1953	Dimitri Tiomkin	Academy Award for Best Original Dramatic or Comedy Score		
1953	Dimitri Tiomkin	Academy Award for Best Original Song		
1953	Edward Carfagno	Academy Award for Best Art Direction, Black and White		
1953	Edwin B. Willis	Academy Award for Best Art Direction, Black and White		
1953	Elmo Williams	Academy Award for Best Film Editing		
1953	F. Keogh Gleason	Academy Award for Best Art Direction, Black and White		
1953	Frank Cavett	Academy Award for Best Story		
1953	Fred Quimby	Academy Award for Best Animated Short Film		
1953	Fredric M. Frank	Academy Award for Best Story		
1953	Gary Cooper	Academy Award for Best Actor		
1953	Gloria Grahame	Academy Award for Best Supporting Actress		
1953	Harry W. Gerstad	Academy Award for Best Film Editing		
1953	Helen Rose	Academy Award for Best Costume Design, Black-and-White		
1953	High Noon	Academy Award for Best Actor	Fred Zinnemann	1907
1953	High Noon	Academy Award for Best Film Editing	Fred Zinnemann	1907
1953	High Noon	Academy Award for Best Original Dramatic or Comedy Score	Fred Zinnemann	1907
1953	High Noon	Academy Award for Best Original Song	Fred Zinnemann	1907
1953	Irwin Allen	Academy Award for Best Documentary Feature Film		
1953	Johann Mouse	Academy Award for Best Animated Short Film	Joseph Barbera	1911
1953	Johann Mouse	Academy Award for Best Animated Short Film	William Hanna	1910
1953	John Ford	Academy Award for Best Director		
1953	Joseph M. Schenck	Academy Honorary Award		
1953	Light in the Window	Academy Award for Best Live Action Short Film, One-Reel	Jean Oser	1908
1953	Merian C. Cooper	Academy Honorary Award		
1953	Moulin Rouge	Academy Award for Best Art Direction, Color	John Huston	1906
1953	Moulin Rouge	Academy Award for Best Costume Design, Color	John Huston	1906
1953	Ned Washington	Academy Award for Best Original Song		
1953	Neighbours	Academy Award for Best Documentary (Short Subject)	Norman McLaren	1914
1953	Norman McLaren	Academy Award for Best Documentary (Short Subject)		
1953	Paul Sheriff	Academy Award for Best Art Direction, Color		
1953	Plymouth Adventure	Academy Award for Best Special Effects	Clarence Brown	1890
1953	Q1168531	Academy Award for Best Writing, Original Screenplay	Charles Crichton	1910
1953	Q47524717	Academy Honorary Award		
1953	Q521154	Academy Award for Best Art Direction, Color		
1953	Q521154	Academy Award for Best Costume Design, Color		
1953	Robert L. Surtees	Academy Award for Best Cinematography, Black-and-White		
1953	Shirley Booth	Academy Award for Best Actress		
1953	T. E. B. Clarke	Academy Award for Best Writing, Original Screenplay		
1953	The Bad and the Beautiful	Academy Award for Best Art Direction, Black and White	Vincente Minnelli	1903
1953	The Bad and the Beautiful	Academy Award for Best Cinematography, Black-and-White	Vincente Minnelli	1903
1953	The Bad and the Beautiful	Academy Award for Best Costume Design, Black-and-White	Vincente Minnelli	1903
1953	The Bad and the Beautiful	Academy Award for Best Supporting Actress	Vincente Minnelli	1903
1953	The Bad and the Beautiful	Academy Award for Best Writing, Adapted Screenplay	Vincente Minnelli	1903
1953	The Ballad of High Noon	Academy Award for Best Original Song		
1953	The Greatest Show on Earth	Academy Award for Best Picture	Cecil B. DeMille	1881
1953	The Greatest Show on Earth	Academy Award for Best Story	Cecil B. DeMille	1881
1953	The Quiet Man	Academy Award for Best Cinematography, Color	John Ford	1894
1953	The Quiet Man	Academy Award for Best Director	John Ford	1894
1953	The Sea Around Us	Academy Award for Best Documentary Feature Film	Irwin Allen	1916
1953	The Sound Barrier	Academy Award for Best Sound	David Lean	1908
1953	Theodore St. John	Academy Award for Best Story		
1953	Viva Zapata!	Academy Award for Best Supporting Actor	Elia Kazan	1909
1953	Walt Disney	Academy Award for Best Short Subject, Two-reel		
1953	Water Birds	Academy Award for Best Short Subject, Two-reel	Ben Sharpsteen	1895
1953	Winton Hoch	Academy Award for Best Cinematography, Color		
1953	With a Song in My Heart	Academy Award for Best Original Musical Score	Walter Lang	1896
1954	Alfred Newman	Academy Award for Best Original Musical Score		
1954	Audrey Hepburn	Academy Award for Best Actress		
1954	Bear Country	Academy Award for Best Short Subject, Two-reel	James Algar	1912
1954	Bronisław Kaper	Academy Award for Best Original Dramatic or Comedy Score		
1954	Buddy Adler	Academy Award for Best Picture		
1954	Burnett Guffey	Academy Award for Best Cinematography, Black-and-White		
1954	Call Me Madam	Academy Award for Best Original Musical Score	Walter Lang	1896
1954	Cedric Gibbons	Academy Award for Best Art Direction, Black and White		
1954	Charles Brackett	Academy Award for Best Writing, Original Screenplay		
1954	Charles LeMaire	Academy Award for Best Costume Design, Color		
1954	Dalton Trumbo	Academy Award for Best Story		
1954	Daniel Taradash	Academy Award for Best Writing, Adapted Screenplay		
1954	Donna Reed	Academy Award for Best Supporting Actress		
1954	Edith Head	Academy Award for Best Costume Design, Black-and-White		
1954	Edward Carfagno	Academy Award for Best Art Direction, Black and White		
1954	Edwin B. Willis	Academy Award for Best Art Direction, Black and White		
1954	Emile Santiago	Academy Award for Best Costume Design, Color		
1954	Frank Sinatra	Academy Award for Best Supporting Actor		
1954	Fred Waller	Academy Scientific and Technical Award		
1954	Fred Zinnemann	Academy Award for Best Director		
1954	From Here to Eternity	Academy Award for Best Cinematography, Black-and-White	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Director	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Film Editing	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Picture	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Sound	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Supporting Actor	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Supporting Actress	Fred Zinnemann	1907
1954	From Here to Eternity	Academy Award for Best Writing, Adapted Screenplay	Fred Zinnemann	1907
1954	George Davis	Academy Award for Best Art Direction, Color		
1954	George Stevens	Irving G. Thalberg Memorial Award		
1954	Greta Garbo	Academy Honorary Award		
1954	Hugh Hunt	Academy Award for Best Art Direction, Black and White		
1954	John P. Livadary	Academy Award for Best Sound		
1954	Johnny Green	Academy Award for Best Live Action Short Film, One-Reel		
1954	Joseph Breen	Academy Honorary Award		
1954	Julius Caesar	Academy Award for Best Art Direction, Black and White	Joseph L. Mankiewicz	1909
1954	Lili	Academy Award for Best Original Dramatic or Comedy Score	Charles Walters	1911
1954	Lorin Grignon	Academy Scientific and Technical Award		
1954	Loyal Griggs	Academy Award for Best Cinematography, Color		
1954	Lyle R. Wheeler	Academy Award for Best Art Direction, Color		
1954	Overture to The Merry Wives of Windsor	Academy Award for Best Live Action Short Film, One-Reel	Johnny Green	1908
1954	Paul Francis Webster	Academy Award for Best Original Song		
1954	Paul S. Fox	Academy Award for Best Art Direction, Color		
1954	Pete Smith	Academy Honorary Award		
1954	Richard L. Breen	Academy Award for Best Writing, Original Screenplay		
1954	Roman Holiday	Academy Award for Best Actress	William Wyler	1902
1954	Roman Holiday	Academy Award for Best Costume Design, Black-and-White	William Wyler	1902
1954	Roman Holiday	Academy Award for Best Story	William Wyler	1902
1954	Sammy Fain	Academy Award for Best Original Song		
1954	Secret Love	Academy Award for Best Original Song		
1954	Shane	Academy Award for Best Cinematography, Color	George Stevens	1904
1954	Stalag 17	Academy Award for Best Actor	Billy Wilder	1906
1954	The Alaskan Eskimo	Academy Award for Best Documentary (Short Subject)	James Algar	1912
1954	The Living Desert	Academy Award for Best Documentary Feature Film	James Algar	1912
1954	The Robe	Academy Award for Best Art Direction, Color	Henry Koster	1905
1954	The Robe	Academy Award for Best Costume Design, Color	Henry Koster	1905
1954	The War of the Worlds	Academy Award for Best Special Effects	Byron Haskin	1899
1954	Titanic	Academy Award for Best Writing, Original Screenplay	Jean Negulesco	1900
1954	Toot, Whistle, Plunk and Boom	Academy Award for Best Animated Short Film	Ward Kimball	1914
1954	Toot, Whistle, Plunk and Boom	Academy Award for Best Animated Short Film	Charles August Nichols	1910
1954	Walt Disney	Academy Award for Best Animated Short Film		
1954	Walt Disney	Academy Award for Best Documentary (Short Subject)		
1954	Walt Disney	Academy Award for Best Documentary Feature Film		
1954	Walt Disney	Academy Award for Best Short Subject, Two-reel		
1954	Walter M. Scott	Academy Award for Best Art Direction, Color		
1954	Walter Reisch	Academy Award for Best Writing, Original Screenplay		
1954	William Holden	Academy Award for Best Actor		
1954	William Lyon	Academy Award for Best Film Editing		
1954	cinematographic trajectory	Irving G. Thalberg Memorial Award		
1955	20,000 Leagues Under the Sea	Academy Award for Best Art Direction, Color	Richard Fleischer	1916
1955	20,000 Leagues Under the Sea	Academy Award for Best Special Effects	Richard Fleischer	1916
1955	A Time Out of War	Academy Award for Best Short Subject, Two-reel	Denis Sanders	1929
1955	Adolph Deutsch	Academy Award for Best Original Musical Score		
1955	Boris Kaufman	Academy Award for Best Cinematography, Black-and-White		
1955	Broken Lance	Academy Award for Best Story	Edward Dmytryk	1908
1955	Budd Schulberg	Academy Award for Best Writing, Original Screenplay		
1955	Danny Kaye	Academy Honorary Award		
1955	David S. Horsley	Academy Scientific and Technical Award		
1955	Denis Sanders	Academy Award for Best Short Subject, Two-reel		
1955	Dimitri Tiomkin	Academy Award for Best Original Dramatic or Comedy Score		
1955	Edith Head	Academy Award for Best Costume Design, Black-and-White		
1955	Edmond O'Brien	Academy Award for Best Supporting Actor		
1955	Elia Kazan	Academy Award for Best Director		
1955	Emile Kuri	Academy Award for Best Art Direction, Color		
1955	Eva Marie Saint	Academy Award for Best Supporting Actress		
1955	Fred Knoth	Academy Scientific and Technical Award		
1955	Fred R. Wilson	Academy Scientific and Technical Award		
1955	Gate of Hell	Academy Award for Best Costume Design, Color	Teinosuke Kinugasa	1896
1955	Gene Milford	Academy Award for Best Film Editing		
1955	George Seaton	Academy Award for Best Writing, Adapted Screenplay		
1955	Grace Kelly	Academy Award for Best Actress		
1955	John Meehan	Academy Award for Best Art Direction, Color		
1955	John R. Bishop	Academy Award of Merit		
1955	Jon Whiteley	Academy Honorary Award		
1955	Jon Whiteley	Academy Juvenile Award		
1955	Jule Styne	Academy Award for Best Original Song		
1955	Kemp Niver	Academy Honorary Award		
1955	Leslie I. Carey	Academy Award for Best Sound		
1955	Lloyd W. Russell	Academy Scientific and Technical Award		
1955	Marlon Brando	Academy Award for Best Actor		
1955	Milton Krasner	Academy Award for Best Cinematography, Color		
1955	On the Waterfront	Academy Award for Best Actor	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Art Direction, Black and White	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Cinematography, Black-and-White	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Director	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Film Editing	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Picture	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Supporting Actress	Elia Kazan	1909
1955	On the Waterfront	Academy Award for Best Writing, Original Screenplay	Elia Kazan	1909
1955	Orien Ernest	Academy Scientific and Technical Award		
1955	Philip Yordan	Academy Award for Best Story		
1955	Richard Day	Academy Award for Best Art Direction, Black and White		
1955	Robert Youngson	Academy Award for Best Live Action Short Film, One-Reel		
1955	Sabrina	Academy Award for Best Costume Design, Black-and-White	Billy Wilder	1906
1955	Sam Spiegel	Academy Award for Best Picture		
1955	Sammy Cahn	Academy Award for Best Original Song		
1955	Sanzō Wada	Academy Award for Best Costume Design, Color		
1955	Saul Chaplin	Academy Award for Best Original Musical Score		
